iter	Quantile:alpha=0.9
0	0.4511453578
1	0.4317478389
2	0.4163445816
3	0.4023715046
4	0.3903475311
5	0.3819104142
6	0.3719547687
7	0.3637470723
8	0.3546708273
9	0.3491818539
10	0.3431035101
11	0.336091889
12	0.3297625885
13	0.3241837355
14	0.3210847275
15	0.3140629692
16	0.3089125885
17	0.3054487786
18	0.3006854868
19	0.298398402
20	0.2953676622
21	0.2918763327
22	0.2892786714
23	0.2874254152
24	0.2814852054
25	0.2789503084
26	0.2744221169
27	0.272842659
28	0.2684479857
29	0.2668802075
30	0.2657137196
31	0.2641152685
32	0.2627345535
33	0.2585581111
34	0.2559794167
35	0.254978472
36	0.2538039479
37	0.2527083041
38	0.2515757279
39	0.2507875465
40	0.2499006689
41	0.2490601678
42	0.2477570485
43	0.2436213427
44	0.2429030978
45	0.2422395383
46	0.240199086
47	0.2395815514
48	0.2390155147
49	0.2384118942
50	0.2358810128
51	0.2351345734
52	0.2345126348
53	0.2338917608
54	0.2329692577
55	0.2307750831
56	0.2303030474
57	0.2298442534
58	0.2291532582
59	0.228023891
60	0.2274293959
61	0.2267187786
62	0.2258637366
63	0.2251977653
64	0.2247298039
65	0.2244137118
66	0.2240081993
67	0.2231555553
68	0.2228642769
69	0.2225580859
70	0.2222206549
71	0.2218239447
72	0.2209876506
73	0.2200794264
74	0.219806299
75	0.2193060197
76	0.2190921087
77	0.2184377973
78	0.2179501314
79	0.2174890024
80	0.2161827628
81	0.215909193
82	0.2150808281
83	0.2147409873
84	0.2142612661
85	0.2139999335
86	0.2136928133
87	0.213286004
88	0.2130393144
89	0.2126096097
90	0.2121877142
91	0.211785501
92	0.211410821
93	0.2109920169
94	0.2105141059
95	0.2102860453
96	0.2098943196
97	0.2095264186
98	0.2091272098
99	0.2088639406
100	0.208561937
101	0.2079306397
102	0.2077329415
103	0.2076015461
104	0.2073121573
105	0.2071304654
106	0.2069426036
107	0.2066749035
108	0.2063955121
109	0.2062236145
110	0.2058866053
111	0.2056057257
112	0.2053415092
113	0.2050722285
114	0.2047434541
115	0.2043051768
116	0.2035053059
117	0.2032819038
118	0.2030777143
119	0.2028673584
120	0.2026635922
121	0.202529041
122	0.2021077474
123	0.2015534023
124	0.2012561986
125	0.2010543784
126	0.2008781191
127	0.2007585923
128	0.2004215613
129	0.2001398966
130	0.1998951999
131	0.1995729081
132	0.1994198132
133	0.1992736455
134	0.1988849637
135	0.1987330502
136	0.1985889898
137	0.1984402201
138	0.1980958054
139	0.197887103
140	0.197687643
141	0.1974362667
142	0.1973392827
143	0.1971914484
