iter	Passed	Remaining
0	38	38480
1	65	32637
2	93	31194
3	121	30146
4	150	29896
5	182	30170
6	215	30536
7	268	33308
8	304	33534
9	343	34035
10	377	33912
11	407	33567
12	434	33017
13	463	32637
14	491	32286
15	520	32010
16	548	31691
17	579	31634
18	687	35507
19	747	36621
20	854	39858
21	923	41036
22	965	41028
23	1007	40984
24	1041	40602
25	1072	40159
26	1103	39756
27	1132	39310
28	1166	39069
29	1195	38653
30	1221	38178
31	1248	37768
32	1280	37509
33	1306	37109
34	1335	36809
35	1365	36554
36	1397	36373
37	1436	36359
38	1468	36189
39	1498	35970
40	1528	35745
41	1562	35637
42	1591	35413
43	1620	35205
44	1649	35011
45	1676	34766
46	1704	34564
47	1734	34398
48	1762	34205
49	1791	34046
50	1820	33875
51	1855	33822
52	1888	33738
53	1919	33623
54	1952	33545
55	1992	33584
56	2025	33517
57	2057	33424
58	2089	33329
59	2119	33211
60	2150	33106
61	2189	33118
62	2221	33040
63	2253	32958
64	2284	32856
65	2311	32704
66	2337	32550
67	2366	32430
68	2395	32315
69	2422	32182
70	2451	32074
71	2481	31980
72	2509	31863
73	2537	31751
74	2563	31615
75	2591	31508
76	2624	31458
77	2656	31404
78	2692	31388
79	2721	31293
80	2751	31215
81	2783	31163
82	2817	31128
83	2847	31047
84	2876	30959
85	2903	30854
86	2929	30742
87	2962	30701
88	2989	30600
89	3019	30526
90	3045	30418
91	3073	30331
92	3100	30240
93	3127	30142
94	3156	30065
95	3189	30038
96	3225	30026
97	3259	30004
98	3292	29962
99	3322	29901
100	3352	29844
101	3391	29857
102	3434	29910
103	3465	29856
104	3493	29780
105	3524	29723
106	3552	29645
107	3579	29561
108	3607	29490
109	3636	29425
110	3662	29334
111	3690	29262
112	3718	29189
113	3747	29124
114	3776	29060
115	3805	29001
116	3839	28977
117	3871	28936
118	3910	28949
119	3953	28992
120	3995	29027
121	4035	29044
122	4071	29027
123	4105	29006
124	4142	28997
125	4178	28984
126	4216	28981
127	4252	28972
128	4284	28927
129	4319	28907
130	4358	28914
131	4388	28859
132	4419	28809
133	4454	28789
134	4494	28797
135	4528	28768
136	4555	28697
137	4592	28683
138	4620	28619
139	4653	28582
140	4684	28537
141	4711	28470
142	4736	28384
143	4761	28304
144	4785	28219
145	4812	28148
146	4838	28073
147	4862	27989
148	4887	27914
149	4910	27828
150	4936	27754
151	4962	27685
152	4990	27624
153	5018	27567
154	5054	27554
155	5081	27492
156	5110	27438
157	5138	27383
158	5165	27324
159	5196	27279
160	5228	27245
161	5264	27234
162	5297	27202
163	5336	27204
164	5376	27207
165	5410	27185
166	5445	27160
167	5476	27122
168	5507	27083
169	5535	27027
170	5563	26970
171	5592	26921
172	5622	26875
173	5653	26839
174	5683	26794
175	5715	26761
176	5741	26696
177	5766	26631
178	5796	26584
179	5828	26551
180	5859	26513
181	5886	26456
182	5911	26390
183	5938	26334
184	5964	26276
185	5989	26213
