iter	Quantile:alpha=0.1
0	523.0744925
1	522.9710791
2	522.1932768
3	521.7534106
4	521.1448829
5	521.1213292
6	520.6535502
7	520.1808203
8	519.891884
9	519.625089
10	519.4024399
11	519.284862
12	519.2494132
13	519.2137106
14	519.048414
15	518.7641879
16	518.3376685
17	518.0943051
18	518.0689285
19	518.0476962
20	518.0219134
21	517.9669253
22	517.8809332
23	517.859907
24	517.8415359
25	517.8284263
26	517.7712239
27	517.7632375
28	517.758109
29	517.7416459
30	517.6122589
31	517.6063928
32	517.5577528
33	517.5544213
34	517.549045
35	517.5449553
36	517.4911493
37	517.4301926
38	517.4152273
39	517.3761166
40	517.2940979
41	517.2890002
42	517.2367765
43	517.1737261
44	517.0739611
45	517.0693734
46	517.054912
47	516.9538134
48	516.9088657
49	516.8197742
50	514.7106513
51	514.69781
52	514.6877353
53	514.649415
54	514.6320323
55	514.6172796
56	514.6105242
57	514.5902847
58	514.5838411
59	514.5805853
60	514.5764529
61	514.534878
62	514.514782
63	514.4890863
64	514.4870006
65	514.481642
66	514.468244
67	514.4569261
68	514.4465813
69	514.4333985
70	514.4185257
71	514.3964826
72	514.3930144
73	512.6554805
74	512.6333493
75	512.6296118
76	512.6240712
77	512.609932
78	512.6066598
79	512.6052099
80	512.5997231
81	512.5697334
82	512.4958458
83	512.3933329
84	512.3645681
85	512.353504
86	512.3383143
87	512.3312254
88	512.3239135
89	508.6069578
90	508.5969714
91	508.5790824
92	508.5736449
93	508.5630347
94	508.5260715
95	508.5135495
96	508.5002118
97	508.4892816
98	508.4848674
99	508.4660365
100	508.4487921
101	508.4417823
102	508.430432
103	508.4013051
104	508.3897517
105	508.3756634
106	507.8090494
107	507.8049689
108	507.794572
109	507.7889991
110	507.786332
111	507.780817
112	507.7735528
113	507.7666388
114	507.7577587
115	507.7503346
116	507.7386525
117	507.7171214
118	507.7044699
119	507.6951209
120	507.6792892
121	507.6652361
122	507.6519224
123	507.6478482
124	507.5156852
125	507.5107791
126	507.3973106
127	507.2938634
128	507.2861794
129	507.1897308
130	507.0962338
131	505.6290183
132	505.5560513
133	503.0127988
134	502.9437627
135	502.8775826
136	502.239058
137	497.932231
138	497.875429
139	497.8234369
140	497.7756576
141	497.7343053
142	497.6969875
143	497.6583414
144	497.6235961
145	497.5967337
146	497.5718465
147	497.5518357
148	497.5330255
149	497.5269026
150	497.4915989
151	497.4791228
152	497.4217034
153	497.3512673
154	497.3334207
155	497.3226035
156	497.3177947
157	497.3069348
158	496.0752902
159	489.9376289
160	489.9315692
161	489.9139086
162	489.9071556
163	488.9358817
164	488.9333059
165	488.9221277
166	486.7787072
167	479.7665697
168	477.5099661
169	477.4512167
170	473.9908822
171	473.9827106
172	471.4586073
173	469.9562883
174	469.9519638
175	469.9393447
176	466.3065787
177	466.2992133
178	460.4181216
179	460.351893
180	454.6645114
181	451.8971142
182	447.0863955
183	447.0752692
184	447.0662824
185	447.0536675
186	444.0929906
187	440.1287936
188	438.8932381
189	435.4057216
190	434.2037316
191	431.2433845
192	427.3550507
193	426.0472315
194	422.5983262
195	420.1956528
196	418.4951166
197	416.6239887
198	416.6146902
199	415.2726313
200	414.8500315
201	413.7647906
202	413.7547772
203	412.3970758
204	412.376009
205	411.4516621
206	411.4440614
207	411.4368675
208	411.4156743
209	411.4086206
210	411.4052159
211	411.3423914
212	410.8701734
213	410.8599567
214	410.4705353
215	410.1672473
216	409.2228284
217	407.7977727
218	407.4080706
219	405.5350638
220	405.5119289
221	404.0641295
222	400.0541915
223	400.0149123
224	398.8213109
225	397.5845454
226	396.4224133
227	395.408635
228	395.3599124
229	394.5249886
230	393.8666607
231	393.5404889
232	393.5289013
233	392.8355958
234	392.8306645
235	390.9111513
236	390.8999309
237	390.894558
238	390.6087966
239	390.5887212
240	390.5827506
241	390.2523283
242	389.4976984
243	389.4720954
244	389.3608268
245	389.0788373
246	388.8662837
247	388.8625289
248	388.3751827
249	388.3714639
250	387.4661315
251	387.4618675
252	387.4591951
253	387.4559685
254	387.4076727
255	387.4041857
256	387.4001585
257	387.3907021
258	387.2374712
259	387.0999078
260	387.0863451
261	386.6714658
262	385.7465419
263	385.6451405
264	385.4425093
265	385.2785041
266	385.2515009
267	385.0678211
268	384.9201283
269	384.8909655
270	384.821179
271	383.9832696
272	383.7686055
273	383.6998148
274	381.2844366
275	381.0646047
276	381.0584289
277	380.9818457
278	380.9755188
279	380.9701902
280	380.9513954
281	380.9178694
282	380.9106369
283	380.6444714
284	379.099487
285	375.9941506
286	375.9514411
287	374.459457
288	374.4505632
289	371.7468218
290	370.4145432
291	367.9666559
292	367.2522263
293	367.0617246
294	366.1781262
295	366.0432993
296	365.7747703
297	365.7692587
298	365.7621795
299	365.6655586
300	364.8865579
301	364.88041
302	364.6440059
303	364.5992008
304	363.698152
305	363.6858245
306	363.3455259
307	363.3427048
308	363.2624789
309	360.7356631
310	360.6678017
311	360.6007526
312	360.5551614
313	360.3869539
314	360.0524936
315	356.1356094
316	355.956148
317	355.8718667
318	355.3202409
319	355.3178199
320	355.0543414
321	354.998525
322	354.984662
323	354.9693277
324	354.9639486
325	354.9615437
326	354.8760765
327	354.87331
328	354.8268726
329	354.7501221
330	354.7011163
331	354.6726406
332	354.2550352
333	353.881058
334	353.6308286
335	353.600809
336	353.166703
337	353.1624443
338	353.1564932
339	353.120492
340	353.1098724
341	352.4484822
342	352.4449347
343	352.4254045
344	352.416158
345	352.3194214
346	350.5419792
347	350.4574088
348	350.4423845
349	350.4384004
350	350.4306868
351	350.4207069
352	350.416099
353	350.3830877
354	350.3606382
355	350.3545587
356	350.3478468
357	350.3427204
358	350.2411964
359	350.2270618
360	348.4382244
361	348.4164652
362	348.4122294
363	348.1903795
364	348.0807579
365	344.294201
366	341.6221152
367	341.5980967
368	338.8259574
369	338.6409772
370	338.6028277
371	338.5744219
372	338.4180476
373	338.408714
374	338.3923277
375	338.386706
376	338.3037745
377	335.4787189
378	335.3809103
379	335.1388957
380	335.1308065
381	332.9583539
382	332.9119367
383	331.9009926
384	331.8956258
385	329.8834544
386	329.8661572
387	329.8344437
388	329.8311585
389	329.8108275
390	329.8021966
391	329.6462171
392	329.642163
393	329.4864597
394	328.8847555
395	328.8081744
396	328.8048308
397	328.5339968
398	328.1828213
399	328.174773
400	326.3970277
401	326.3829197
402	326.3802357
403	326.3667885
404	326.3090493
405	326.2962789
406	325.7138181
407	325.6362728
408	325.1401156
409	324.4603549
410	323.5266827
411	323.5084519
412	323.5064604
413	323.4929929
414	323.4906948
415	323.2943491
416	322.100606
417	320.8089958
418	320.8050904
419	320.7736729
420	320.1803909
421	320.1661677
422	320.093111
423	320.0748711
424	318.5780027
425	317.9965883
426	317.8840068
427	317.8746665
428	317.8605519
429	317.8579252
430	317.7431315
431	317.7159165
432	317.7066639
433	317.6752559
434	317.6296071
435	317.6224962
436	317.6165993
437	317.6118
438	317.6083249
439	317.5490694
