iter	Passed	Remaining
0	114	114282
1	210	105044
2	293	97493
3	396	98626
4	493	98197
5	582	96418
6	662	93910
7	740	91809
8	829	91360
9	926	91756
10	1019	91674
11	1098	90454
12	1134	86121
13	1251	88119
14	1329	87330
15	1435	88291
16	1533	88657
17	1646	89849
18	1743	89996
19	1843	90318
20	1884	87869
21	1980	88034
22	2080	88385
23	2175	88486
24	2262	88251
25	2361	88456
26	2435	87750
27	2519	87459
28	2628	87993
29	2720	87957
30	2801	87566
31	2879	87089
32	2970	87044
33	3078	87477
34	3163	87212
35	3278	87778
36	3386	88150
37	3520	89129
38	3684	90785
39	3795	91102
40	3863	90369
41	3944	89973
42	4019	89468
43	4115	89417
44	4204	89229
45	4250	88154
46	4339	87999
47	4435	87966
48	4532	87958
49	4637	88117
50	4737	88155
51	4848	88398
52	4972	88850
53	5000	87609
54	5052	86806
55	5156	86921
56	5260	87035
57	5383	87433
58	5470	87257
59	5561	87129
60	5678	87414
61	5764	87215
62	5861	87171
63	5964	87237
64	6038	86860
65	6136	86839
66	6230	86764
67	6342	86927
68	6444	86955
69	6557	87121
70	6660	87147
71	6756	87084
72	6865	87177
73	6948	86950
74	7049	86949
75	7131	86700
76	7318	87732
77	7435	87890
78	7544	87953
79	7660	88101
80	7796	88452
81	7929	88775
82	8034	88770
83	8167	89065
84	8279	89125
85	8374	89008
86	8476	88953
87	8594	89068
88	8721	89270
89	8843	89420
90	8938	89289
91	9044	89266
92	9153	89268
93	9277	89417
94	9404	89591
95	9497	89437
96	9585	89236
97	9740	89654
98	9894	90052
99	10031	90283
100	10134	90206
101	10233	90095
102	10366	90274
103	10510	90549
104	10640	90696
105	10804	91121
106	10943	91334
107	11043	91207
108	11128	90965
109	11231	90873
110	11359	90976
111	11496	91152
112	11643	91394
113	11754	91353
114	11889	91497
115	12017	91584
116	12158	91759
117	12326	92133
118	12467	92303
119	12600	92406
120	12744	92578
121	12866	92594
122	13035	92945
123	13162	92986
124	13319	93234
125	13466	93411
126	13591	93429
127	13726	93510
128	13847	93496
129	14002	93705
130	14144	93828
131	14293	93989
132	14442	94148
133	14609	94413
134	14746	94485
135	14890	94595
136	15033	94699
137	15154	94661
138	15320	94901
139	15480	95093
140	15585	94951
141	15765	95258
142	15918	95400
143	16058	95456
144	16229	95695
145	16338	95568
146	16453	95474
147	16605	95593
148	16714	95464
149	16993	96294
150	17115	96233
151	17262	96308
152	17432	96503
153	17569	96518
154	17685	96416
155	17813	96374
156	17937	96312
157	18081	96357
158	18191	96222
159	18310	96130
160	18420	95994
161	18568	96053
162	18685	95949
163	18803	95850
164	18927	95782
165	19068	95800
166	19190	95721
167	19332	95741
168	19454	95661
169	19592	95657
170	19713	95568
171	19853	95573
172	19993	95573
173	20125	95536
174	20254	95484
175	20363	95338
176	20506	95349
177	20662	95417
178	20840	95584
179	20967	95517
180	21105	95501
181	21224	95395
182	21327	95218
183	21465	95196
184	21598	95149
185	21709	95007
186	21833	94922
187	21980	94937
188	22103	94848
189	22235	94794
190	22376	94777
191	22510	94729
192	22634	94641
193	22764	94578
194	22904	94555
195	23043	94523
